seconds,data
57.76,0.4782499999999999
57.8,0.4822499999999999
57.845,0.4834999999999999
57.893,0.4887500000000001
57.929,0.48275
57.961,0.487
58.006,0.4365
58.044,0.4354999999999999
58.101,0.4975
58.136,0.48375
58.151,0.493
58.169,0.48325
58.214,0.46875
58.239,0.46175
58.288,0.4872499999999999
58.322,0.507
58.365,0.47575
58.407,0.4995
58.449,0.46025
58.48,0.484
58.521,0.4800000000000001
58.564,0.4820000000000001
58.613,0.4855
58.649,0.47975
58.682,0.4840000000000001
58.727,0.4865
58.762,0.471
58.819,0.479
58.842,0.48225
58.894,0.47275
58.937,0.4505
58.965,0.4632499999999999
59.012,0.4674999999999999
59.046,0.4735
59.099,0.4664999999999999
59.12,0.4505
59.16,0.46575
59.205,0.43725
59.242,0.44175
59.288,0.4535
59.331,0.4549999999999999
59.361,0.4582499999999999
59.413,0.4555
59.447,0.45375
59.481,0.45425
59.543,0.44275
59.566,0.44025
59.605,0.449
59.663,0.4405
59.683,0.4525
59.728,0.4307500000000001
59.762,0.4455
59.804,0.4082499999999999
59.843,0.4562499999999999
59.889,0.4534999999999999
59.928,0.44225
59.963,0.4472499999999999
60.003,0.4579999999999999
60.048,0.468
60.082,0.4559999999999999
60.124,0.448
60.165,0.4644999999999999
60.201,0.4355
60.263,0.4305
60.285,0.4665
60.335,0.46225
60.371,0.4275
60.4,0.4405
60.445,0.442
60.48,0.4305
60.523,0.46275
60.562,0.4389999999999999
60.607,0.4327499999999999
60.651,0.4415
60.686,0.45975
60.721,0.44675
60.769,0.44875
60.802,0.4529999999999999
60.865,0.42625
60.885,0.4392499999999999
60.922,0.47175
60.983,0.46375
61.008,0.45375
61.04,0.4604999999999999
61.079,0.4385
61.123,0.4247499999999999
61.166,0.4499999999999999
61.202,0.4492499999999999
61.247,0.4305
61.303,0.44175
61.321,0.4725
61.362,0.4545
61.408,0.4349999999999999
61.448,0.44075
61.485,0.4515
61.531,0.46475
61.579,0.46775
61.602,0.45175
61.64,0.4634999999999999
61.703,0.4824999999999999
61.726,0.45025
61.765,0.48075
61.804,0.48775
61.855,0.4785
61.887,0.4695
61.924,0.47425
61.972,0.47275
62.006,0.45425
62.042,0.459
62.1,0.4772499999999999
62.122,0.4864999999999999
62.163,0.46475
62.207,0.46425
62.241,0.4782499999999999
62.303,0.48275
62.322,0.4760000000000001
62.363,0.47975
62.401,0.4765
62.447,0.4695
62.491,0.4785
62.526,0.487
62.561,0.4715
62.601,0.5062500000000001
62.646,0.485
62.692,0.47975
62.728,0.499
62.762,0.498
62.808,0.51275
62.844,0.50475
62.903,0.482
62.923,0.48425
62.968,0.481
63.02,0.48175
63.045,0.4679999999999999
63.104,0.46775
63.137,0.46625
63.16,0.482
63.206,0.4755
63.242,0.47925
63.285,0.47975
63.325,0.478
63.366,0.4705
63.405,0.4742499999999999
63.443,0.5007499999999999
63.49,0.47975
63.528,0.491
63.56,0.4992500000000001
63.621,0.4639999999999999
63.646,0.471
63.682,0.4675
63.747,0.48525
63.768,0.48225
63.784,0.4915
63.805,0.48675
63.844,0.487
63.88,0.487
63.922,0.49825
63.969,0.46675
64.01,0.4855
64.111,0.48125
64.126,0.4857499999999999
64.157,0.493
